
============================================================
               ACCURACY EVALUATION REPORT
============================================================

≡ƒôï Ground Truth:
  --------------------------------------------------------
  Problem      Student         ΓåÆ Expected Ref   
  s17             ref2            ref2            Γ£ô       
  s18             ref1            ref2            Γ£ù       
  s19             ref1            ref1            Γ£ô       
  s2              ref1            ref1            Γ£ô       
  s20             ref1            ref2            Γ£ù       
  s3              ref2            ref2            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref1            ref1            Γ£ô       
  s6              ref2            ref2            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref1            ref1            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref2            ref1            Γ£ù       
  s10             ref2            ref1            Γ£ù       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref2            ref1            Γ£ù       
  s15             ref2            ref2            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref2            ref1            Γ£ù       
  s18             ref1            ref1            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref2            ref2            Γ£ô       
  s6              ref1            ref1            Γ£ô       
  s7              ref2            ref2            Γ£ô       
  s8              ref2            ref1            Γ£ù       
  s9              ref2            ref1            Γ£ù       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref2            ref1            Γ£ù       
  s15             ref1            ref1            Γ£ô       
  s16             ref1            ref1            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref1            ref2            Γ£ù       
  s6              ref1            ref1            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref1            ref1            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref1            ref1            Γ£ô       
  s11             ref2            ref2            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref2            ref2            Γ£ô       
  s15             ref1            ref1            Γ£ô       
  s16             ref2            ref2            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref1            ref1            Γ£ô       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref1            ref1            Γ£ô       
  s6              ref2            ref2            Γ£ô       
  s7              ref1            ref1            Γ£ô       
  s8              ref2            ref2            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  s1              ref1            ref1            Γ£ô       
  s10             ref2            ref2            Γ£ô       
  s11             ref1            ref1            Γ£ô       
  s12             ref1            ref1            Γ£ô       
  s13             ref1            ref1            Γ£ô       
  s14             ref1            ref1            Γ£ô       
  s15             ref1            ref2            Γ£ù       
  s16             ref1            ref1            Γ£ô       
  s17             ref1            ref1            Γ£ô       
  s18             ref1            ref2            Γ£ù       
  s19             ref1            ref1            Γ£ô       
  s2              ref2            ref2            Γ£ô       
  s20             ref1            ref1            Γ£ô       
  s3              ref1            ref1            Γ£ô       
  s4              ref1            ref1            Γ£ô       
  s5              ref2            ref2            Γ£ô       
  s6              ref1            ref1            Γ£ô       
  s7              ref2            ref2            Γ£ô       
  s8              ref1            ref1            Γ£ô       
  s9              ref1            ref1            Γ£ô       
  --------------------------------------------------------

Γ¥î Mismatches (Detailed Scores):

  p11/s8:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9960
      ref2: weighted=0.9869

  p14/s12:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9980
      ref2: weighted=0.9980

  p14/s19:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9974
      ref2: weighted=0.9974

  p14/s2:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9557
      ref2: weighted=0.9557

  p14/s5:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9557
      ref2: weighted=0.9557

  p14/s7:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9530
      ref2: weighted=0.9530

  p17/s18:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9288
      ref2: weighted=0.9286

  p17/s6:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9220
      ref2: weighted=0.9217

  p19/s10:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.8747
      ref2: weighted=0.8659

  p19/s13:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.9875
    ΓåÆ ref2: weighted=0.9988

  p19/s18:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.9873
    ΓåÆ ref2: weighted=0.9985

  p19/s7:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9984
      ref2: weighted=0.9872

  p2/s8:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.7305
      ref2: weighted=0.7269

  p20/s8:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.7465
      ref2: weighted=0.7456

  p3/s20:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.7467
    ΓåÆ ref2: weighted=0.7470

  p3/s4:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.7466
    ΓåÆ ref2: weighted=0.7469

  p3/s6:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.7461
    ΓåÆ ref2: weighted=0.7463

  p3/s8:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.7464
    ΓåÆ ref2: weighted=0.9974

  p4/s15:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9940
      ref2: weighted=0.7488

  p4/s3:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9940
      ref2: weighted=0.7488

  p5/s18:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9870
      ref2: weighted=0.9870

  p5/s20:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=0.9085
      ref2: weighted=0.9065

  p6/s1:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.9796
    ΓåÆ ref2: weighted=0.9797

  p6/s10:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.9913
    ΓåÆ ref2: weighted=0.9937

  p6/s14:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.7446
    ΓåÆ ref2: weighted=0.7482

  p6/s17:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.9941
    ΓåÆ ref2: weighted=0.9961

  p6/s8:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.7289
    ΓåÆ ref2: weighted=0.7291

  p6/s9:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.9778
    ΓåÆ ref2: weighted=0.9794

  p7/s14:
    Expected: ref1, Predicted: ref2
      ref1: weighted=0.9915
    ΓåÆ ref2: weighted=1.0000

  p7/s5:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=1.0000
      ref2: weighted=0.9915

  p9/s15:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=1.0000
      ref2: weighted=0.7315

  p9/s18:
    Expected: ref2, Predicted: ref1
    ΓåÆ ref1: weighted=1.0000
      ref2: weighted=0.7315

============================================================
                    FINAL RESULTS
============================================================
  Weights: Baseline=35%, WL=40%, CES=25%
  Correct Predictions: 368/400
  Accuracy: 0.9200 (92.00%)
============================================================

